"","ensembl_transcript_id","ensembl_gene_id","mgi_symbol","chromosome_name","transcript_biotype","transcript_start","transcript_end","transcript_count","feature_symbol","feature_id"
"1","ENSMUST00000000001","ENSMUSG00000000001","Gnai3","3","protein_coding",108107280,108146146,1,"Gnai3","ENSMUSG00000000001"
"2","ENSMUST00000000028","ENSMUSG00000000028","Cdc45","16","protein_coding",18780447,18811972,3,"Cdc45","ENSMUSG00000000028"
"3","ENSMUST00000136359","ENSMUSG00000000031","H19","7","lincRNA",142575529,142578143,7,"H19","ENSMUSG00000000031"
"4","ENSMUST00000074802","ENSMUSG00000000037","Scml2","X","protein_coding",161162750,161256952,7,"Scml2","ENSMUSG00000000037"
"5","ENSMUST00000000049","ENSMUSG00000000049","Apoh","11","protein_coding",108395293,108414396,4,"Apoh","ENSMUSG00000000049"
"6","ENSMUST00000151088","ENSMUSG00000000056","Narf","11","retained_intron",121245020,121245811,3,"Narf","ENSMUSG00000000056"
"7","ENSMUST00000000058","ENSMUSG00000000058","Cav2","6","protein_coding",17281185,17289115,3,"Cav2","ENSMUSG00000000058"
"8","ENSMUST00000000080","ENSMUSG00000000078","Klf6","13","protein_coding",5861482,5870394,3,"Klf6","ENSMUSG00000000078"
"9","ENSMUST00000000087","ENSMUSG00000000085","Scmh1","4","protein_coding",120405307,120530184,14,"Scmh1","ENSMUSG00000000085"
"10","ENSMUST00000213678","ENSMUSG00000000088","Cox5a","9","retained_intron",57521274,57532426,3,"Cox5a","ENSMUSG00000000088"
"11","ENSMUST00000000095","ENSMUSG00000000093","Tbx2","11","protein_coding",85832551,85841948,1,"Tbx2","ENSMUSG00000000093"
"12","ENSMUST00000108047","ENSMUSG00000000094","Tbx4","11","protein_coding",85886422,85916095,3,"Tbx4","ENSMUSG00000000094"
"13","ENSMUST00000187148","ENSMUSG00000000103","Zfy2","Y","protein_coding",2106015,2150346,2,"Zfy2","ENSMUSG00000000103"
"14","ENSMUST00000000122","ENSMUSG00000000120","Ngfr","11","protein_coding",95568818,95587735,1,"Ngfr","ENSMUSG00000000120"
"15","ENSMUST00000000127","ENSMUSG00000000125","Wnt3","11","protein_coding",103774150,103817957,1,"Wnt3","ENSMUSG00000000125"
"16","ENSMUST00000000128","ENSMUSG00000000126","Wnt9a","11","protein_coding",59306928,59333552,2,"Wnt9a","ENSMUSG00000000126"
"17","ENSMUST00000000129","ENSMUSG00000000127","Fer","17","protein_coding",63896018,64139494,2,"Fer","ENSMUSG00000000127"
"18","ENSMUST00000168189","ENSMUSG00000000131","Xpo6","7","protein_coding",126101715,126200501,20,"Xpo6","ENSMUSG00000000131"
"19","ENSMUST00000144715","ENSMUSG00000000134","Tfe3","X","retained_intron",7762560,7766071,14,"Tfe3","ENSMUSG00000000134"
"20","ENSMUST00000139682","ENSMUSG00000000142","Axin2","11","processed_transcript",108943621,108950783,7,"Axin2","ENSMUSG00000000142"
"21","ENSMUST00000041588","ENSMUSG00000000148","Brat1","5","protein_coding",140705011,140719379,6,"Brat1","ENSMUSG00000000148"
"22","ENSMUST00000000153","ENSMUSG00000000149","Gna12","5","protein_coding",140758408,140830431,2,"Gna12","ENSMUSG00000000149"
"23","ENSMUST00000052348","ENSMUSG00000000154","Slc22a18","7","protein_coding",143473736,143499334,5,"Slc22a18","ENSMUSG00000000154"
"24","ENSMUST00000113794","ENSMUSG00000000159","Igsf5","16","protein_coding",96361668,96422121,6,"Igsf5","ENSMUSG00000000159"
"25","ENSMUST00000000171","ENSMUSG00000000167","Pih1d2","9","protein_coding",50617321,50624997,7,"Pih1d2","ENSMUSG00000000167"
"26","ENSMUST00000034567","ENSMUSG00000000168","Dlat","9","protein_coding",50634633,50659780,6,"Dlat","ENSMUSG00000000168"
"27","ENSMUST00000000175","ENSMUSG00000000171","Sdhd","9","protein_coding",50596357,50603812,1,"Sdhd","ENSMUSG00000000171"
"28","ENSMUST00000000186","ENSMUSG00000000182","Fgf23","6","protein_coding",127072902,127081408,1,"Fgf23","ENSMUSG00000000182"
"29","ENSMUST00000000187","ENSMUSG00000000183","Fgf6","6","protein_coding",127015586,127028187,1,"Fgf6","ENSMUSG00000000183"
"30","ENSMUST00000000188","ENSMUSG00000000184","Ccnd2","6","protein_coding",127125162,127151060,8,"Ccnd2","ENSMUSG00000000184"
"31","ENSMUST00000056433","ENSMUSG00000000194","Gpr107","2","protein_coding",31152316,31218775,11,"Gpr107","ENSMUSG00000000194"
"32","ENSMUST00000000201","ENSMUSG00000000197","Nalcn","14","protein_coding",123276634,123627144,7,"Nalcn","ENSMUSG00000000197"
